연번	자치구 	시장명 	신주소(도로명 주소)	구주소(번지주소)	유형	형태	 건물연면적(㎡) 
407	영등포구	양평1동 어울림 골목형상점가	서울 영등포구 영등포로5길 32	서울 영등포구 양평동2가 33-38	골목형상점가	골목형	               3,337
408	영등포구	영등포 로타리상가 골목형상점가	서울 영등포구 영등포로 205	서울 영등포구 영등포동6가 1-17	골목형상점가	골목형	               9,873
409	영등포구	영등포구청역 3번출구 골목형상점가	서울 영등포구 당산로31길 18	서울 영등포구 당산동3가 395-10	골목형상점가	골목형	             57,939
410	영등포구	영등포로타리지하도상가	 서울특별시 영등포구 영중로 지하20	 서울특별시 영등포구 영등포동3가 32	상점가	지하도상가	               6,161
411	영등포구	영등포시장기계공구상가	 서울특별시 영등포구 영중로14길 48	 서울특별시 영등포구 영등포동2가 167-1	상점가	골목형	             35,477
412	영등포구	영등포시장지하도상가	 서울특별시 영등포구 영등포로 지하221	 서울특별시 영등포구 영등포동3가 31	상점가	지하도상가	               1,599
413	영등포구	영등포역지하도상가	 서울특별시 영등포구 경인로 지하843	 서울특별시 영등포구 영등포동3가 33	상점가	지하도상가	               4,678
414	영등포구	영등포유통상가	 서울특별시 영등포구 영등포로 109	 서울특별시 영등포구 당산동2가 30-2	등록시장	건물형	             75,575
415	영등포구	영등포전통시장	서울 영등포구 영등포로45길 16-1	서울 영등포구 영등포동2가 33-102	상점가	골목형	               5,245
416	영등포구	영등포청과시장	 서울특별시 영등포구 영신로39길 14	 서울특별시 영등포구 당산1동 157	상점가	골목형	             19,800
417	영등포구	영신상가	 서울특별시 영등포구 영등포로 225	 서울특별시 영등포구 영등포동5가 18-1	등록시장	건물형	             10,323
418	영등포구	영일시장	 서울특별시 영등포구 문래로30길 27	 서울특별시 영등포구 문래동3가 10	등록시장	골목형	               1,897
419	영등포구	우리시장	 서울특별시 영등포구 도림로64길 16-1	 서울특별시 영등포구 대림동 893-2	상점가	골목형	               2,991
420	영등포구	제일상가	 서울특별시 영등포구 영등포로 225	 서울특별시 영등포구 영등포동5가 18-156	상점가	건물형	               1,063
소계	동작구	22	　	　	　	　	　
421	동작구	강남시장	동작구 상도로 357	서울특별시 동작구 상도동 488	등록시장	건물형	               2,471
422	동작구	남성사계시장(남성시장)	동작구 동작대로 129 일원	서울특별시 동작구 사당동 86-9 외	인정시장	골목형	             10,984
423	동작구	남성역골목시장	동작구 사당로16가길 19  일원	서울특별시 동작구 사당동 267-4 일원	인정시장	골목형	               9,021
424	동작구	남성역골목형상점가	서울 동작구 사당로 231	 	골목형상점가	골목형	               1,817
425	동작구	노량진 만나로 골목형상점가	서울 동작구 만양로 92	서울 동작구 노량진동 119-158	골목형상점가	골목형	             40,804
426	동작구	노량진수산시장골목형상점가	서울 동작구 노들로 674	서울 동작구 노량진동 334	골목형상점가	건물형	           118,346
427	동작구	보라매다올길골목형상점가	서울 동작구 여의대방로24가길 5	서울 동작구 대방동 417-5	골목형상점가	골목형	             13,216
428	동작구	본동인정시장	동작구 매봉로 177	서울특별시 동작구 본동 187-1외 66필지	인정시장	골목형	             12,176
429	동작구	사당1동먹자골목상점가	동작대로3길 14 일원	서울특별시 동작구 사당동 1032-31 일원	상점가	골목형	               3,063
430	동작구	사당시장	동작구 사당로 244	서울특별시 동작구 사당4동 318-8	등록시장	건물형	               3,843
431	동작구	상도도깨비골목형상점가	동작구 상도로 22길 일대	서울특별시 동작구 상도동 186-5 일원	골목형상점가	상점가	               9,510
432	동작구	상도약수골목형상점가	동작구 양녕로26길 10 일대	서울특별시 동작구 상도4동 210번지 일대	골목형상점가	상점가	               9,867
433	동작구	상도전통시장	동작구 상도로37길 62 일원	서울특별시 동작구 상도동 467-2 일원	인정시장	골목형	             16,463
434	동작구	성대시장	동작구 상도로 102	서울특별시 동작구 상도동 324-1	등록시장	건물형	               6,831
435	동작구	성대시장골목형상점가	서울 동작구 성대로 36	서울 동작구 상도동 256-36	골목형상점가	골목형	               2,734
436	동작구	성대전통시장	국사봉1길 41 일원	서울특별시 동작구 상도동 324-68 일원	인정시장	골목형	             20,290
437	동작구	숭실마루길 골목형상점가	서울 동작구 사당로 28	서울 동작구 상도동 505-1	골목형상점가	골목형	             19,783
438	동작구	신노량진시장	동작구 장승배기로 123-6	서울특별시 동작구 노량진동 307-9	무등록시장	건물형	               3,512
439	동작구	신대방1동 온누리길 골목형상점가	서울 동작구 신대방길 112-4	서울 동작구 신대방동 589-6	골목형상점가	골목형	               7,665
440	동작구	이수미로 골목형상점가	서울 동작구 동작대로27가길 5	서울 동작구 사당동 139-84	골목형상점가	골목형	             34,288
441	동작구	장승배기먹거리골목형상점가	서울 동작구 상도로15길 143	 	골목형상점가	골목형	               3,725
442	동작구	흑석시장 골목형상점가	서울 동작구 서달로12길 19	 	골목형상점가	골목형	               6,227
소계	관악구	35	　	　	　	　	　
443	관악구	강남골목시장	서울 관악구 조원로6길 15	서울특별시 관악구 조원동 1652	골목형상점가	상점가	               8,072
444	관악구	관악신사시장	서울특별시 관악구 관천로19길 89	서울특별시 관악구 신림동 494-34	인정시장	골목형	               3,778
445	관악구	관악종합시장	서울특별시 관악구 신원로 23	서울특별시 관악구 신림동 1602-1	등록시장	건물형	               2,929
446	관악구	관악중부시장	서울특별시 관악구 관악로 222	서울특별시 관악구 봉천동 33-3	골목형상점가	상점가	               2,391
447	관악구	낙낙별길 골목형상점가	서울 관악구 봉천로 596	서울 관악구 봉천동 1632-3	골목형상점가	상점가	             21,877
448	관악구	난곡골목형상점가	서울특별시 관악구 난곡로24길 12	서울특별시 관악구신림동 702-15	골목형상점가	상점가	               6,947
449	관악구	난곡신사맛길 골목형상점가	서울 관악구 난곡로66길 11	 	골목형상점가	상점가	             16,010
450	관악구	난우길 골목형상점가	서울 관악구 법원단지길 28	 	골목형상점가	상점가	             37,577
451	관악구	남현동 예술인마을 골목형상점가	서울 관악구 남현3길 78	 	골목형상점가	상점가	             50,878
452	관악구	녹두 골목형상점가	서울 관악구 신림로11길 20	서울 관악구 신림동 241-24	골목형상점가	골목형	             14,978
453	관악구	녹두S밸리 골목형상점가	서울 관악구 호암로22길 76	서울 관악구 신림동 1542-3	골목형상점가	골목형	             32,314
454	관악구	미성동도깨비시장	서울특별시 관악구 미성3길 1	서울특별시 관악구 신림동 727-5	골목형상점가	상점가	               9,190
455	관악구	봉리단길 골목형상점가	서울시 관악구 장군봉1길 56	서울특별시 관악구 청룡동 928-1	골목형상점가	상점가	             30,228
456	관악구	봉일시장	서울특별시 관악구 은천로 28	서울특별시 관악구 봉천동 951-25	등록시장	건물형	             19,099
457	관악구	봉천달빛길 골목형상점가	서울 관악구 남부순환로 1739-8	서울 관악구 봉천동 923-15	골목형상점가	상점가	             14,932
458	관악구	봉천제일종합시장	서울특별시 관악구 청룡2길 29	서울특별시 관악구 청룡동 921-1	등록시장	건물형	               3,776
459	관악구	봉천중앙시장	서울특별시 관악구 관악로 211	서울특별시 관악구 봉천동 32-2	등록시장	건물형	               3,406
460	관악구	봉천현대시장	서울특별시 관악구 양녕로 49	서울특별시 관악구 봉천동 503-2	등록시장	건물형	               2,069
461	관악구	삼성동시장	서울특별시 관악구 원신1길 28-1 신림동	서울특별시 관악구 신림동 808-142	무등록시장	골목형	               4,800
462	관악구	샤로수길 골목형상점가	서울 관악구 남부순환로226길 31	 	골목형상점가	상점가	             58,362
463	관악구	서림 행복가득한 골목형상점가	서울 관악구 신림로 208	서울 관악구 신림동 96-95	골목형상점가	상점가	               6,503
464	관악구	서원동상점가	서울특별시 관악구 신림로 329	서울특별시 관악구 신림동 1637 일대	상점가	상점가	             17,115
465	관악구	신림별빛거리 골목형상점가	서울 관악구 봉천로6길 29	서울 관악구 신림동 1441-41	골목형상점가	골목형	             52,916
